cross,row,trees
SC14-18,1,1_156
SC14-18,2,1_63
SC14-27,2,64-158
SC14-27,3,"1-82,85-140"
SC14-06,3,141-158
SC14-06  ,4,1_45
SC14-21,4,46-134
SC14-22,4,135-158
SC14-22,5,1-154
SC14-08,5,155-156
SC14-27,5,157-158
SC14-10,6,1_2
SC14-08,6,3_53
SC14-14,6,54-158
SC14-14,7,1_81
SC14-26,7,82-158
SC14-26,8,1_4
SC14-24,8,"5_42,45-76"
SC14-23,8,77-149
SC14-20,8,149-158
SC14-20,9,1_34
SC14-33,9,35-158
SC14-33,10,1_28
SC14-30,10,29-158
SC14-30,11,1_9
SC14-07,11,10_154
SC14-07,12,1_19
SC14-19,12,20_146
SC14-29,12,147_154
SC14-29,13,1_86
SC14-31,13,87_147
SC14-31,14,1_147
SC-32,15,1_43
SC-28,15,44_141
SC-28,16,1_84
SC-4,16,85_107
SC-15,16,108_141
SC-15,17,1_11
SC-5,17,12_54
SC-2 ,17,55_74
SC-1 ,17,75_97
SC-25,17,98_119
SC-13,17,120_123
SC-12,17,124_126
SC-3 ,17,127_135
SC-21,17,136_144
