Unique_ID,Accession,primary_order,secondary_order,R_T,Cross_ID,Search,trait,value,timestamp,person,location,number
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,RipDate,7/27/2017,7/27/2017 9:05, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,Rank,5,7/27/2017 9:05, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,Blush,98,7/27/2017 9:05, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,Photo,/storage/emulated/0/fieldBook/plot_data/2013_SC_Selections/photos/SC13-18-07_Photo_1_2017-07-27-09-05-55.jpg,7/27/2017 9:06, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,Adhesion,Clingstone,7/27/2017 9:07, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,FleshColor,Yellow,7/27/2017 9:07, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,Attractiveness,8,7/27/2017 9:07, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,Split Pit,FALSE,7/27/2017 9:07, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,Fuzz,5,7/27/2017 9:07, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,Shape,Round,7/27/2017 9:07, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,Taste,Good,7/27/2017 9:07, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,FruitType,Peach,7/27/2017 9:07, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,FleshType,non melting,7/27/2017 9:07, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,BrownRot,FALSE,7/27/2017 9:07, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,Softening,Fast,7/27/2017 9:07, ,,1
KG_SC13-18-07,SC13-18-07,7,8,7_8,"BY95P5518 X 2005, 16-147",18007,Note,"red in flesh, firm, tart, or, fibers",7/27/2017 9:08, ,,1
KG_SC13-05-1,SC13-05-1,1,1,1_1,Blazeprince X SC08-16-67,5001,Blush,50,2/5/2018 13:02, ,null,1
KG_SC13-05-1,SC13-05-1,1,1,1_1,Blazeprince X SC08-16-67,5001,Split Pit,FALSE,2/5/2018 13:02, ,null,1
KG_SC13-05-1,SC13-05-1,1,1,1_1,Blazeprince X SC08-16-67,5001,BrownRot,FALSE,2/5/2018 13:02, ,null,1
KG_SC13-05-1,SC13-05-1,1,1,1_1,Blazeprince X SC08-16-67,5001,FleshType,non melting,2/5/2018 13:02, ,null,1
KG_SC13-05-1,SC13-05-1,1,1,1_1,Blazeprince X SC08-16-67,5001,Adhesion,Semicling,2/5/2018 13:02, ,null,1
